X,Y,Z,RX,RY,RZ
840.092,311.175,181.369,-10.0000,52.6944,66.8716
828.219,236.006,180.200,-2.1309,48.2144,82.6970
823.276,225.240,183.905,-10.0000,49.9559,77.7138
807.548,200.535,180.254,-10.0000,54.1040,57.3200
801.954,189.824,183.968,-10.0000,52.8545,66.0255
789.959,167.806,179.289,47.1468,-54.0400,57.9209
779.503,183.599,180.751,13.1065,-49.0223,9.4958
772.197,163.115,181.692,33.0388,-54.1598,33.2316
761.647,181.803,181.998,-10.0000,-43.3151,-3.1875
749.830,179.800,183.208,-10.0000,-27.8496,-23.0623
738.006,178.862,184.000,-8.7909,-47.1208,4.5959
735.064,179.399,180.863,3.2718,-49.9164,12.1617
720.258,178.469,178.692,-10.0000,-19.7405,-30.3008
714.423,182.031,177.785,-10.0000,-10.9645,-37.1261
702.975,181.848,184.472,20.2342,46.9809,4.2681
688.493,168.344,183.695,-10.0000,-33.4604,-17.1395
685.485,184.822,178.058,-10.0000,-16.5834,-32.8440
672.080,185.783,178.270,37.0856,41.5753,-6.1522
662.255,167.913,184.202,-10.0000,-40.4445,-7.9334
650.066,181.959,180.448,11.2462,50.0927,12.7225
642.524,164.065,180.531,-7.5521,-46.4911,3.1508
632.015,177.233,182.728,-10.0000,-33.7390,-16.8178
619.947,162.587,182.090,1.4883,-46.5578,3.3002
608.531,178.664,177.064,-7.8481,-47.1811,4.7382
602.542,177.230,183.865,-5.8518,-48.1119,7.0374
590.706,176.116,178.627,7.8350,-44.6685,-0.6554
584.870,176.642,178.696,11.3690,-45.6692,1.3708
570.408,179.062,181.588,-10.0000,-36.8587,-12.9869
559.972,159.620,179.091,4.5283,-48.4432,7.9056
553.708,159.060,179.315,2.9587,-48.7096,8.6251
543.584,174.674,181.037,7.4054,-48.4538,7.9340
530.404,157.188,181.099,10.8487,-49.8711,12.0195
518.568,156.130,182.725,11.3192,-49.2839,10.2473
513.796,171.545,183.396,11.2994,-46.7428,3.7193
502.264,172.273,183.519,3.8109,-48.2379,7.3643
496.211,171.111,177.981,21.1827,-51.6789,18.4669
478.864,173.648,184.036,29.0193,-53.3876,27.1177
467.008,172.631,183.856,6.1724,-31.4013,-19.4282
462.637,184.555,181.178,-10.0000,33.5222,-72.9317
453.483,222.409,181.602,-10.0000,30.7461,-69.8736
444.638,259.781,180.375,-10.0000,30.5292,-69.6455
435.742,295.409,177.046,-10.0000,28.8075,-67.8834
425.420,341.835,180.871,0.0773,11.6726,-53.4000
416.274,355.594,182.939,-6.5501,21.0504,-60.7921
396.831,157.140,186.315,18.4683,-49.5732,11.1049
389.450,158.652,180.158,16.0142,-49.5389,11.0016
378.377,158.355,180.072,18.2467,-50.5032,14.0801
370.780,159.006,178.304,19.7396,-50.3366,13.5200
365.873,158.491,181.286,23.7357,-51.2408,16.7327
347.082,157.368,185.968,15.1768,-49.9361,12.2236
336.471,157.899,183.323,23.4124,-51.7961,18.9547
